id	gene
962	BIRC8
963	MCCD1
964	OR6B2
965	SERPINA11
966	OR51T1
967	OR9K2
968	KRT75
969	PPP1R2P9
970	MIR4482-1
971	LINC00160
972	KRT16P1
973	OR1B1
974	LOC1720
975	OR2Z1
976	SERPINB2
977	BPIFC
978	HOXD9
979	SNORA17
980	XCL2
981	FAM154A
982	CD177
983	CIB3
984	MMP13
985	MMP26
986	IGFL1
987	KRT39
988	MYL1
989	KRTAP7-1
990	PTH
991	PSORS1C3
992	MIR595
993	BPESC1
994	USP17L11
995	AFM
996	LCE2A
997	COL18A1-AS2
998	TNNC1
999	SCARNA21
1000	FGF19
1001	HOXB1
1002	LCE3D
1003	MIR21
1004	OR4Q3
1005	SNORA37
1006	C17orf82
1007	OR51L1
1008	LOC100128787
1009	FAM24A
1010	IL36RN
1011	C7orf66
1012	CALML5
1013	DEFB119
1014	SLC22A25
1015	USP17L12
1016	USP17L21
1017	LINC00035
1018	DNAJB3
1019	CXCR3
1020	LOC440117
1021	TLX1
1022	LOC400620
1023	EDN2
1024	TECTB
1025	AOAH-IT1
1026	PTTG2
1027	LINC00469
1028	KRT71
1029	APOA2
1030	LOC100129427
1031	HOXC-AS5
1032	OR11H4
1033	SNORD70
1034	TEX19
1035	ADH1C
1036	KRTAP1-1
1037	OR4D11
1038	MIR3679
1039	OR6X1
1040	TLX1NB
1041	DCAF8L1
1042	DEFB132
1043	OR6P1
1044	CXorf27
1045	OR4N5
1046	PRAC
1047	CXCR1
1048	FOXE3
1049	TNFRSF17
1050	HAND1
1051	OR9G4
1052	TMEM8C
1053	THBD
1054	MIR138-1
1055	CRYGC
1056	PMCHL1
1057	MAS1
1058	OR2V1
1059	MIR3115
1060	TDO2
1061	VCX3A
1062	OR5C1
1063	PI3
1064	MIR3616
1065	NTF4
1066	SATB2-AS1
1067	TSGA10IP
1068	C9orf106
1069	LOC146481
1070	FAM153B
1071	PRODH2
1072	MIR1972-1
1073	MIR1972-2
1074	MIR3940
1075	CPXCR1
1076	RNASE10
1077	SLC25A47
1078	VAX2
1079	MIR626
1080	TBX20
1081	IFNA6
1082	OTOP2
1083	ADCYAP1
1084	LINC00489
1085	LINC00710
1086	AP1B1P1
1087	LCN8
1088	NPPB
1089	OR8B8
1090	LELP1
1091	KLRF2
1092	IFNL1
1093	APOA4
1094	LINC00841
1095	MIR604
1096	MIR3120
1097	OR7G3
1098	OR5K4
1099	MIR3618
1100	AWAT2
1101	PRAMEF12
1102	MIR920
1103	SNORD9
1104	BHLHA15
1105	OCSTAMP
1106	VGLL1
1107	OR10X1
1108	OR5K2
1109	MIR4803
1110	RNASE13
1111	SMPX
1112	LCE3E
1113	CCL11
1114	TMPRSS4-AS1
1115	DSCR8
1116	SNORA11C
1117	LINC00301
1118	GZMH
1119	SLC38A8
1120	MIR514A2
1121	MIR514A3
1122	BPIFB1
1123	MSLN
1124	PLA2G2F
1125	LINC00474
1126	LCE1A
1127	SNORD67
1128	MIR1289-2
1129	LOC340357
1130	OR4K5
1131	SNORD38A
1132	SNAR-F
1133	SNORD65
1134	MIR3648
1135	MIR578
1136	ZNRF4
1137	SNORD18B
1138	IL17C
1139	MIR1231
1140	MIR589
1141	MIR4744
1142	KRTAP10-11
1143	LINC00656
1144	SNORD19
1145	SAA3P
1146	LMX1A
1147	SSTR3
1148	LOC100507537
1149	MIR4263
1150	SPATS1
1151	FAM170A
