source	target	weight
OR4K13	UBASH3A	1
OR6Y1	UBASH3A	1
PCGEM1	UBASH3A	1
AA06	UBASH3A	1
KRTAP3-1	UBASH3A	1
MIR378C	UBASH3A	1
NR0B2	UBASH3A	1
OR2Y1	UBASH3A	1
OR3A3	UBASH3A	1
SERPINA5	UBASH3A	1
FEZF1-AS1	UBASH3A	1
FLJ46300	UBASH3A	1
LILRB5	UBASH3A	1
HS3ST6	UBASH3A	1
OR6C65	UBASH3A	1
GJA10	UBASH3A	1
MSC	UBASH3A	1
PAX2	UBASH3A	1
NKX3-2	UBASH3A	1
GTSF1L	UBASH3A	1
OR56B4	UBASH3A	1
MAGEA2	UBASH3A	1
C15orf53	UBASH3A	1
KRT16P3	UBASH3A	1
OR2C3	UBASH3A	1
MNX1	UBASH3A	1
OR6C74	UBASH3A	1
MB	REG3G	1
KRTAP11-1	REG3G	1
MIR514A1	REG3G	1
SERPINB12	REG3G	1
SPDYE4	REG3G	1
HNF1B	REG3G	0.954468430399774
LYZL4	REG3G	1
FATE1	REG3G	1
OR5B3	REG3G	1
PRAMEF5	REG3G	1
SPINK1	REG3G	1
MIR181B2	UGT1A4	1
RAB9BP1	UGT1A4	1
UGT1A3	UGT1A4	1
LINC00619	FOLR3	1
OTOP3	FOLR3	1
GZMK	C1orf68	1
MIR147B	C1orf68	1
KRT85	NEU2	1
LOC286442	NEU2	1
LINC00332	NEU2	1
MIR190A	NEU2	1
AMY1C	NEU2	0.9063406303398
TPRX1	NEU2	1
FLJ41350	NEU2	1
APOBEC1	BANF2	1
OR4D6	BANF2	1
ALPPL2	C20orf141	1
C10orf91	C20orf141	1
CD300C	C20orf141	1
HLA-DQA2	C20orf141	1
MIR663B	C20orf141	1
MOGAT2	C20orf141	1
OR4E2	C20orf141	1
OR4K13	C20orf141	1
OR6Y1	C20orf141	1
PCGEM1	C20orf141	1
AA06	C20orf141	1
KRTAP3-1	C20orf141	1
MIR378C	C20orf141	1
NR0B2	C20orf141	1
OR2Y1	C20orf141	1
OR3A3	C20orf141	1
SERPINA5	C20orf141	1
FEZF1-AS1	C20orf141	1
FLJ46300	C20orf141	1
LILRB5	C20orf141	1
HS3ST6	C20orf141	1
OR6C65	C20orf141	1
GJA10	C20orf141	1
MSC	C20orf141	1
PAX2	C20orf141	1
NKX3-2	C20orf141	1
GTSF1L	C20orf141	1
OR56B4	C20orf141	1
MAGEA2	C20orf141	1
C15orf53	C20orf141	1
KRT16P3	C20orf141	1
OR2C3	C20orf141	1
MNX1	C20orf141	1
OR6C74	C20orf141	1
UBASH3A	C20orf141	1
KRT85	SMR3B	1
LOC286442	SMR3B	1
LINC00332	SMR3B	1
MIR190A	SMR3B	1
AMY1C	SMR3B	0.9063406303398
TPRX1	SMR3B	1
FLJ41350	SMR3B	1
NEU2	SMR3B	1
MIR4999	IFNA8	1
ALPPL2	LCE6A	1
C10orf91	LCE6A	1
CD300C	LCE6A	1
HLA-DQA2	LCE6A	1
MIR663B	LCE6A	1
MOGAT2	LCE6A	1
OR4E2	LCE6A	1
OR4K13	LCE6A	1
OR6Y1	LCE6A	1
PCGEM1	LCE6A	1
AA06	LCE6A	1
KRTAP3-1	LCE6A	1
MIR378C	LCE6A	1
NR0B2	LCE6A	1
OR2Y1	LCE6A	1
OR3A3	LCE6A	1
SERPINA5	LCE6A	1
FEZF1-AS1	LCE6A	1
FLJ46300	LCE6A	1
LILRB5	LCE6A	1
HS3ST6	LCE6A	1
OR6C65	LCE6A	1
GJA10	LCE6A	1
MSC	LCE6A	1
PAX2	LCE6A	1
NKX3-2	LCE6A	1
GTSF1L	LCE6A	1
OR56B4	LCE6A	1
MAGEA2	LCE6A	1
C15orf53	LCE6A	1
KRT16P3	LCE6A	1
OR2C3	LCE6A	1
MNX1	LCE6A	1
OR6C74	LCE6A	1
UBASH3A	LCE6A	1
C20orf141	LCE6A	1
ALPPL2	KRTAP10-2	1
C10orf91	KRTAP10-2	1
CD300C	KRTAP10-2	1
HLA-DQA2	KRTAP10-2	1
MIR663B	KRTAP10-2	1
MOGAT2	KRTAP10-2	1
OR4E2	KRTAP10-2	1
OR4K13	KRTAP10-2	1
OR6Y1	KRTAP10-2	1
PCGEM1	KRTAP10-2	1
AA06	KRTAP10-2	1
KRTAP3-1	KRTAP10-2	1
MIR378C	KRTAP10-2	1
NR0B2	KRTAP10-2	1
OR2Y1	KRTAP10-2	1
OR3A3	KRTAP10-2	1
